127.0.0.1 - - [06/Apr/2020:13:15:53 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:27:41 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:27:41 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:27:41 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:19 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:19 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:19 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:20 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:22 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:22 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:23 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:24 +0900] "GET /finalpj/resources/app-assets/images/ico/favicon-32.png HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [06/Apr/2020:13:28:24 +0900] "GET /finalpj/hadoopChart HTTP/1.1" 200 24488
